"V1","estimates","estimate_lower","estimate_upper","pi_estimates","pi_lower","pi_upper","p_value","DIC_array","DIC_true_array","ID"
"2.5%",0.87676618360253,0.523130445497994,2.56856667217958,0.389264854097178,0.387219881151087,0.390654540522444,0.314736559188092,223.431642904343,61.6563608753052,21
"2.5%",1.36615547421625,0.341821706519005,1.57944237662638,0.172747403524587,0.171393218218863,0.174447546486398,0.0906129767738828,254.355928480236,73.5793649147221,22
"2.5%",1.02776416321698,0.424631248515715,2.35218616962328,0.245064756565013,0.243433159695361,0.250073550201408,0.870463400682947,170.760188152732,52.9865886632949,23
"2.5%",0.925401708449215,0.45683401898309,2.50005778650552,0.379037998629384,0.375337004085334,0.380397510840229,0.596000051108642,190.379927511104,53.4142893163624,24
"2.5%",0.933948743773754,0.433832531163138,2.72623100471852,0.372690582269416,0.36971222985381,0.374054405621821,0.662535184785937,177.419621747823,56.1020755747943,25
"2.5%",1.08716276571285,0.390735971529101,2.21800034580666,0.379255328751719,0.375992146696926,0.380612485289287,0.630186602160985,188.202668636083,54.1333699710178,26
"2.5%",0.854797101413284,0.513145142569249,2.59574157422951,0.145125194076806,0.14394577509165,0.146914688951373,0.2121224140394,205.50719320506,59.9082801870064,27
"2.5%",1.1681284522838,0.327456700402161,2.39865346540228,0.585590304925627,0.583946871083037,0.587445334528419,0.481161593582409,122.966466735925,41.1820599437709,28
"2.5%",0.82255429365086,0.497855600344989,3.1744157226044,0.471879794030885,0.468310796920136,0.474559290612598,0.184807504162057,137.235098748223,49.9055145115888,29
"2.5%",0.846730684547402,0.517313352985119,2.91938404085553,0.375488368507233,0.373114469953712,0.377128155408116,0.208542687707233,185.264706752256,56.123114568371,30
"2.5%",1.02515987256301,0.482613883276304,1.88398905563606,0.0799351773550215,0.0787120075401022,0.0808675406678376,0.844024327514462,338.860303496491,115.135128447684,31
"2.5%",1.11460628373614,0.320713976705215,2.34396257255485,0.466286305406465,0.461633162320356,0.469080332972085,0.634045170489669,124.382438083612,41.1713315157026,32
"2.5%",1.6493725500099,0.255656933760674,1.27002649727257,0.0458443227337352,0.0451568978777076,0.0485409009653915,0.0808589276596057,227.28165058399,60.4894680997442,33
"2.5%",1.3002757092672,0.402473786079999,1.44811646515475,0.0901921667311924,0.0892661403673954,0.0913611321400725,0.0824840098688742,376.503377670094,115.08080854762,34
"2.5%",1.33808482869534,0.318546948176646,1.6278878901337,0.271224857125059,0.267033875878236,0.272615060119505,0.135207512097415,214.866103864671,60.7103062097826,35
"2.5%",1.60090600197022,0.190524942782018,1.9640625131693,0.798976149642476,0.79765430975771,0.800214584688961,0.244742491820143,96.7423244757761,33.7103510272938,36
"2.5%",1.10718326534149,0.375742286212122,2.1308730963606,0.251840784303779,0.250417744117734,0.254586001855898,0.580951853682604,177.994494656005,52.9713801408448,37
"2.5%",0.889910651950449,0.357361069060542,3.48649395732716,0.566728564989012,0.564923321579192,0.568813672538135,0.564312901912552,88.8664486362368,35.5248263359977,38
"2.5%",0.920826167206257,0.477815291951033,2.6473630794922,0.107515502686373,0.105836596477297,0.113527809377481,0.581292006189099,164.333196705212,52.1047746602545,39
"2.5%",1.56102518017281,0.268622470654959,1.57739631897516,0.373251113341712,0.371791878863345,0.375089020887981,0.093605359158194,174.030029530959,55.2888935882207,40
"2.5%",1.49689449979551,0.275828960798663,1.76698589194772,0.354600305507654,0.351732008080536,0.356178988783019,0.124696514179835,150.516277219349,50.4349404906787,41
"2.5%",0.985211319926851,0.472714113810959,2.23167420446463,0.281874986897558,0.279016233946908,0.283210967651211,0.911317521795767,245.728651515404,70.9470153085815,42
"2.5%",1.00356007250202,0.36330829913386,2.41314060694509,0.480963215494525,0.479221858699027,0.483505736641406,0.984653536129027,148.335191629509,48.2109149226727,43
"2.5%",1.06428385650325,0.424996511657898,2.14836546678515,0.274586121471646,0.271160408978886,0.275856702969366,0.675108061406902,221.940371802562,63.1767969658793,44
"2.5%",0.84887398234362,0.454116876026083,2.94775205288873,0.593775836668056,0.59192317271965,0.595240080207955,0.27339781299636,160.025462958457,52.9026129963472,45
"2.5%",0.739709467848069,0.650739760659877,2.70259455987375,0.0759397237522749,0.0748656892210924,0.0767573048902113,0.00188999981251259,298.250405961418,83.1611816591999,46
"2.5%",1.35650942150677,0.339074396318522,1.60359943165204,0.49681524454763,0.495156247301255,0.498474402750112,0.118562586753289,234.671272173937,72.5966408016979,47
"2.5%",0.982905278198171,0.493528808964251,2.00886500199307,0.0674062757339071,0.0664057759379369,0.0689430080519149,0.897859009871443,271.744185141395,75.4064101908291,48
"2.5%",1.31519285021913,0.320051694038849,1.67187129103549,0.154572857436497,0.153245755599464,0.156697201994007,0.167927525964498,218.037297662472,62.8176695093802,49
"2.5%",1.18997042215498,0.39595080305262,1.67799321654618,0.173292630172197,0.172028539892428,0.174729829185968,0.280311135241204,254.315606571345,71.9645260394141,50
"2.5%",0.788950545970895,0.628926582731773,2.60469914975154,0.283536539078635,0.2821636190516,0.285784259504951,0.0279350896569039,243.330316198872,65.9069421481213,51
"2.5%",1.14235266273364,0.403668203186399,1.94881506767016,0.388120869964328,0.385882639584853,0.389421550282077,0.416041629378908,221.808287720606,63.4615847124807,52
"2.5%",1.48153623418829,0.244239912337251,1.66015013020657,0.359124396382637,0.35645495025085,0.360646422423056,0.176697382512124,151.186402772384,49.6354262897921,53
"2.5%",0.821001748889277,0.572558294341542,2.7424150217313,0.150778500848742,0.149402949500385,0.153570806276308,0.0898286675087006,211.9441593277,61.6092976776225,54
"2.5%",0.811912097953395,0.596416786426916,2.71845728920672,0.274487941579597,0.272022882884181,0.275812945649413,0.066249320531744,227.020955294594,66.4678114046041,55
"2.5%",0.915051631675403,0.434015672101543,2.70453879786002,0.482071654334958,0.478760527835704,0.483947216993622,0.582470192618604,158.62594473019,54.426130332795,56
"2.5%",1.26452004701386,0.356614843158221,1.86598818264261,0.377910887095221,0.37506690251699,0.379243354401146,0.255883526823933,188.361375350563,62.7660431876363,57
"2.5%",0.945003272515218,0.497048229515155,2.26424293319282,0.172095927952076,0.17047765103215,0.173282778616524,0.666374514942473,256.190984739319,80.7651815341587,58
"2.5%",0.510815604939463,0.888426389672503,4.5298406607309,0.162711661298055,0.161517586659527,0.164010988541669,0,244.899309960583,81.7859997834296,59
"2.5%",1.18284205226033,0.409355181466824,1.77690633757475,0.177821493535954,0.176448329065047,0.178970890987403,0.277720116660933,271.988041685207,73.9888691315634,60
"2.5%",1.17742613799152,0.310276297136908,2.37169271501606,0.577376740815039,0.575183463059053,0.578817672748894,0.471499311195744,103.549873932381,35.9868593861842,61
"2.5%",0.8659210559195,0.506109557040114,2.88298228939523,0.375972056523973,0.373156448032742,0.377371697839169,0.289289354032115,181.936465718231,54.2645132882666,62
"2.5%",0.567678263484489,0.735504176809979,4.7465345659146,0.368454412962581,0.364887353201948,0.369964705801602,2.72430500380949e-09,177.517851473534,63.8650429901878,63
"2.5%",0.657605409128611,0.653652515646808,3.53636892060137,0.15523122280365,0.154132681446416,0.156993899439146,1.66621571544567e-05,225.10265661895,66.1345201455611,64
"2.5%",0.93112719166787,0.458128375176014,2.36251122964293,0.492898886325685,0.49056431598668,0.494489863359345,0.617184185056825,199.343596683281,56.7174133813809,65
"2.5%",1.88366266621164,0.177283283160657,1.27786782873577,0.584151182812629,0.582484056461271,0.5856506923337,0.153600309393297,120.301099445448,43.0744297860472,66
"2.5%",1.12135233191114,0.350027240993586,2.31434329750616,0.351154753334907,0.34694742130889,0.35288679595499,0.564490954531183,143.805908377385,44.9467097877632,67
"2.5%",1.40698291143839,0.304844659682803,1.70297147966352,0.254166702680774,0.249400546899858,0.255828301745132,0.122750094739377,185.012706016891,53.5922452666289,68
"2.5%",0.684649642931928,0.625050238272198,3.61317189203509,0.37969930616441,0.3778750644569,0.381267590412928,0.000401026803955373,195.927528416844,58.9618902221024,69
"2.5%",0.854936613343302,0.636400477685894,2.20704956697298,0.195921840896606,0.194597558001893,0.19708950162626,0.0937188339277109,412.889502143487,140.779563751585,70
"2.5%",1.53848282456692,0.276522360673447,1.49093219793024,0.385930915000946,0.383785295064423,0.387279714663351,0.0748520043697041,212.373375806532,62.5406174570748,71
"2.5%",0.329539708895695,1.34189914171307,7.29640690179537,0.28454280009102,0.283118088253047,0.286734607903181,0,258.952900570483,92.9510667129881,72
"2.5%",0.866656975458241,0.471401306019321,2.63498931187095,0.376331827323056,0.374412360253695,0.377853452367917,0.325124398704189,183.484491630012,58.0914077664243,73
"2.5%",0.74706268058314,0.604769822199735,3.03783947467918,0.0470485455190043,0.0463120836739899,0.0498546860900582,0.00991828457318977,228.87012676059,64.611414528469,74
"2.5%",0.823768990982963,0.540740366164636,2.85312570595539,0.385974196511296,0.38410355268227,0.387413320430539,0.112701240804695,215.276924268147,69.1279154970462,75
"2.5%",1.15419602479883,0.461599816326055,1.62879907775392,0.194123016075825,0.192842479660082,0.195264476825782,0.261269793301501,369.098759495949,111.30089182074,76
