metaanalysisid,Descr,Value
94,BIC (smaller is better),187.5
95,-2 Log Likelihood,172.2
95,AIC (smaller is better),184.2
95,AICC (smaller is better),212.2
95,BIC (smaller is better),186.0
96,-2 Log Likelihood,161.8
96,AIC (smaller is better),173.8
96,AICC (smaller is better),201.8
96,BIC (smaller is better),175.7
97,-2 Log Likelihood,223.9
97,AIC (smaller is better),235.9
97,AICC (smaller is better),263.9
97,BIC (smaller is better),237.8
98,-2 Log Likelihood,81.9
98,AIC (smaller is better),93.9
98,AICC (smaller is better),121.9
98,BIC (smaller is better),95.7
99,-2 Log Likelihood,225.9
99,AIC (smaller is better),237.9
99,AICC (smaller is better),265.9
99,BIC (smaller is better),239.7
100,-2 Log Likelihood,251.2
100,AIC (smaller is better),263.2
100,AICC (smaller is better),291.2
100,BIC (smaller is better),265.0
101,-2 Log Likelihood,125.8
101,AIC (smaller is better),137.8
101,AICC (smaller is better),165.8
101,BIC (smaller is better),139.6
102,-2 Log Likelihood,275.6
102,AIC (smaller is better),287.6
102,AICC (smaller is better),315.6
102,BIC (smaller is better),289.4
103,-2 Log Likelihood,129.0
103,AIC (smaller is better),141.0
103,AICC (smaller is better),169.0
103,BIC (smaller is better),142.8
104,-2 Log Likelihood,121.0
104,AIC (smaller is better),133.0
104,AICC (smaller is better),161.0
104,BIC (smaller is better),134.8
105,-2 Log Likelihood,236.1
105,AIC (smaller is better),248.1
105,AICC (smaller is better),276.1
105,BIC (smaller is better),249.9
106,-2 Log Likelihood,164.7
106,AIC (smaller is better),176.7
106,AICC (smaller is better),204.7
106,BIC (smaller is better),178.5
107,-2 Log Likelihood,159.8
107,AIC (smaller is better),171.8
107,AICC (smaller is better),199.8
107,BIC (smaller is better),173.6
108,-2 Log Likelihood,182.7
108,AIC (smaller is better),194.7
108,AICC (smaller is better),222.7
108,BIC (smaller is better),196.6
109,-2 Log Likelihood,92.8
109,AIC (smaller is better),104.8
109,AICC (smaller is better),132.8
109,BIC (smaller is better),106.6
110,-2 Log Likelihood,186.6
110,AIC (smaller is better),198.6
110,AICC (smaller is better),226.6
110,BIC (smaller is better),200.4
111,-2 Log Likelihood,145.8
111,AIC (smaller is better),157.8
111,AICC (smaller is better),185.8
111,BIC (smaller is better),159.6
112,-2 Log Likelihood,154.4
112,AIC (smaller is better),166.4
112,AICC (smaller is better),194.4
112,BIC (smaller is better),168.3
113,-2 Log Likelihood,261.1
113,AIC (smaller is better),273.1
113,AICC (smaller is better),301.1
113,BIC (smaller is better),275.0
114,-2 Log Likelihood,141.2
114,AIC (smaller is better),153.2
114,AICC (smaller is better),181.2
114,BIC (smaller is better),155.0
115,-2 Log Likelihood,106.3
115,AIC (smaller is better),118.3
115,AICC (smaller is better),146.3
115,BIC (smaller is better),120.1
116,-2 Log Likelihood,174.7
116,AIC (smaller is better),186.7
116,AICC (smaller is better),214.7
116,BIC (smaller is better),188.5
117,-2 Log Likelihood,232E75
117,AIC (smaller is better),232E75
117,AICC (smaller is better),232E75
117,BIC (smaller is better),232E75
118,-2 Log Likelihood,137.9
118,AIC (smaller is better),149.9
118,AICC (smaller is better),177.9
118,BIC (smaller is better),151.8
119,-2 Log Likelihood,200.6
119,AIC (smaller is better),212.6
119,AICC (smaller is better),240.6
119,BIC (smaller is better),214.4
120,-2 Log Likelihood,127.0
120,AIC (smaller is better),139.0
120,AICC (smaller is better),167.0
120,BIC (smaller is better),140.8
121,-2 Log Likelihood,142.0
121,AIC (smaller is better),154.0
121,AICC (smaller is better),182.0
121,BIC (smaller is better),155.8
122,-2 Log Likelihood,238.0
122,AIC (smaller is better),250.0
122,AICC (smaller is better),278.0
122,BIC (smaller is better),251.8
123,-2 Log Likelihood,219.4
123,AIC (smaller is better),231.4
123,AICC (smaller is better),259.4
123,BIC (smaller is better),233.3
124,-2 Log Likelihood,155.3
124,AIC (smaller is better),167.3
124,AICC (smaller is better),195.3
124,BIC (smaller is better),169.1
125,-2 Log Likelihood,187.6
125,AIC (smaller is better),199.6
125,AICC (smaller is better),227.6
125,BIC (smaller is better),201.4
126,-2 Log Likelihood,100.9
126,AIC (smaller is better),112.9
126,AICC (smaller is better),140.9
126,BIC (smaller is better),114.7
127,-2 Log Likelihood,92.4
127,AIC (smaller is better),104.4
127,AICC (smaller is better),132.4
127,BIC (smaller is better),106.2
128,-2 Log Likelihood,316.0
128,AIC (smaller is better),328.0
128,AICC (smaller is better),356.0
128,BIC (smaller is better),329.8
129,-2 Log Likelihood,261.4
129,AIC (smaller is better),273.4
129,AICC (smaller is better),301.4
129,BIC (smaller is better),275.2
130,-2 Log Likelihood,284.5
130,AIC (smaller is better),296.5
130,AICC (smaller is better),324.5
130,BIC (smaller is better),298.3
131,-2 Log Likelihood,187.0
131,AIC (smaller is better),199.0
131,AICC (smaller is better),227.0
131,BIC (smaller is better),200.8
132,-2 Log Likelihood,125.3
132,AIC (smaller is better),137.3
132,AICC (smaller is better),165.3
132,BIC (smaller is better),139.2
133,-2 Log Likelihood,281.1
133,AIC (smaller is better),293.1
133,AICC (smaller is better),321.1
133,BIC (smaller is better),294.9
134,-2 Log Likelihood,209.6
134,AIC (smaller is better),221.6
134,AICC (smaller is better),249.6
134,BIC (smaller is better),223.4
135,-2 Log Likelihood,220.7
135,AIC (smaller is better),232.7
135,AICC (smaller is better),260.7
135,BIC (smaller is better),234.5
136,-2 Log Likelihood,170.0
136,AIC (smaller is better),182.0
136,AICC (smaller is better),210.0
136,BIC (smaller is better),183.8
137,-2 Log Likelihood,252.6
137,AIC (smaller is better),264.6
137,AICC (smaller is better),292.6
137,BIC (smaller is better),266.4
138,-2 Log Likelihood,192.9
138,AIC (smaller is better),204.9
138,AICC (smaller is better),232.9
138,BIC (smaller is better),206.7
139,-2 Log Likelihood,265.4
139,AIC (smaller is better),277.4
139,AICC (smaller is better),305.4
139,BIC (smaller is better),279.2
140,-2 Log Likelihood,117.4
140,AIC (smaller is better),129.4
140,AICC (smaller is better),157.4
140,BIC (smaller is better),131.2
141,-2 Log Likelihood,165.7
141,AIC (smaller is better),177.7
141,AICC (smaller is better),205.7
141,BIC (smaller is better),179.6
142,-2 Log Likelihood,154.5
142,AIC (smaller is better),166.5
142,AICC (smaller is better),194.5
142,BIC (smaller is better),168.3
143,-2 Log Likelihood,325.6
143,AIC (smaller is better),337.6
143,AICC (smaller is better),365.6
143,BIC (smaller is better),339.5
144,-2 Log Likelihood,330.7
144,AIC (smaller is better),342.7
144,AICC (smaller is better),370.7
144,BIC (smaller is better),344.5
145,-2 Log Likelihood,212.5
145,AIC (smaller is better),224.5
145,AICC (smaller is better),252.5
145,BIC (smaller is better),226.4
146,-2 Log Likelihood,70.0
146,AIC (smaller is better),82.0
146,AICC (smaller is better),110.0
146,BIC (smaller is better),83.8
147,-2 Log Likelihood,159.8
147,AIC (smaller is better),171.8
147,AICC (smaller is better),199.8
147,BIC (smaller is better),173.6
148,-2 Log Likelihood,204.9
148,AIC (smaller is better),216.9
148,AICC (smaller is better),244.9
148,BIC (smaller is better),218.8
149,-2 Log Likelihood,117.4
149,AIC (smaller is better),129.4
149,AICC (smaller is better),157.4
149,BIC (smaller is better),131.2
150,-2 Log Likelihood,141.6
150,AIC (smaller is better),153.6
150,AICC (smaller is better),181.6
150,BIC (smaller is better),155.4
151,-2 Log Likelihood,143.8
151,AIC (smaller is better),155.8
151,AICC (smaller is better),183.8
151,BIC (smaller is better),157.6
152,-2 Log Likelihood,219.2
152,AIC (smaller is better),231.2
152,AICC (smaller is better),259.2
152,BIC (smaller is better),233.1
