metaanalysisid,Parameter,Estimate,StandardError,DF,tValue,Probt,Alpha,Lower,Upper,Gradient
1974,beta1,-4.5212,0.5531,1000,-8.17,<.0001,0.05,-5.6065,-3.4359,0.001051
1974,sig1,0.3890,0.3276,1000,1.19,0.2354,0.05,-0.2539,1.0320,-0.00006
1974,beta2,-4.1570,0.5803,1000,-7.16,<.0001,0.05,-5.2957,-3.0183,0.000187
1974,sig2,0.4951,0.3211,1000,1.54,0.1235,0.05,-0.1351,1.1253,-0.00087
1974,fz,2.1401,0.9617,1000,2.23,0.0263,0.05,0.2529,4.0274,0.000019
2007,logitpi,-10.8476,122.96,1000,-0.09,0.9297,0.05,-252.15,230.45,0.000083
2007,beta1,-4.7923,0.7325,1000,-6.54,<.0001,0.05,-6.2297,-3.3550,-0.00001
2007,sig1,0.6618,0.3265,1000,2.03,0.0429,0.05,0.02117,1.3025,0.000160
2007,beta2,-4.1010,0.6220,1000,-6.59,<.0001,0.05,-5.3216,-2.8803,-0.00002
2007,sig2,0.5526,0.3173,1000,1.74,0.0819,0.05,-0.06997,1.1752,-0.00006
2007,fz,2.4495,0.9579,1000,2.56,0.0107,0.05,0.5697,4.3292,-0.00008
2090,logitpi,-1.1759,0.8668,1000,-1.36,0.1752,0.05,-2.8769,0.5251,6.395E-6
2090,beta1,-2.8407,0.2656,1000,-10.70,<.0001,0.05,-3.3619,-2.3195,-0.00001
2090,sig1,-1.5943,1.1971,1000,-1.33,0.1832,0.05,-3.9434,0.7549,-0.00013
2090,beta2,-5.1063,1.1518,1000,-4.43,<.0001,0.05,-7.3666,-2.8461,-0.00002
2090,sig2,0.5548,0.5130,1000,1.08,0.2798,0.05,-0.4520,1.5615,-0.00008
2090,fz,5.2081,11.4856,1000,0.45,0.6503,0.05,-17.3306,27.7468,-0.00003
2256,logitpi,-20.1519,903.52,1000,-0.02,0.9822,0.05,-1793.16,1752.86,1.953E-8
2256,beta1,-4.1241,0.4188,1000,-9.85,<.0001,0.05,-4.9459,-3.3023,-0.00024
2256,sig1,-0.3184,0.7581,1000,-0.42,0.6746,0.05,-1.8059,1.1692,0.000357
2256,beta2,-5.8397,0.5346,1000,-10.92,<.0001,0.05,-6.8887,-4.7906,-0.00006
2256,sig2,0.008062,0.06842,1000,0.12,0.9062,0.05,-0.1262,0.1423,-0.00028
2256,fz,5.5269,37.9555,1000,0.15,0.8843,0.05,-68.9546,80.0085,-0.00005
2262,logitpi,-10.8875,122.76,1000,-0.09,0.9293,0.05,-251.78,230.01,0.000059
2262,beta1,-3.7415,0.2860,1000,-13.08,<.0001,0.05,-4.3027,-3.1804,-0.00012
2262,sig1,-0.2642,0.3218,1000,-0.82,0.4119,0.05,-0.8957,0.3673,-0.00004
2262,beta2,-6.4762,0.7077,1000,-9.15,<.0001,0.05,-7.8649,-5.0876,-0.00004
2262,sig2,-7.9732,,1000,,,0.05,,,-0.00010
2262,fz,-1.4140,70.0612,1000,-0.02,0.9839,0.05,-138.90,136.07,0.000023
2279,logitpi,-1.4528,0,1000,I,<.0001,0.05,M,I,0
2279,beta1,-2.2565,0,1000,I,<.0001,0.05,M,I,0
2279,sig1,0.1308,0,1000,I,<.0001,0.05,M,I,0
