metaanalysisid,Descr,Value
10148,AIC (smaller is better),601.9
10148,AICC (smaller is better),613.9
10148,BIC (smaller is better),605.7
10174,-2 Log Likelihood,937.8
10174,AIC (smaller is better),949.8
10174,AICC (smaller is better),960.3
10174,BIC (smaller is better),954.0
10180,-2 Log Likelihood,881.7
10180,AIC (smaller is better),893.7
10180,AICC (smaller is better),905.7
10180,BIC (smaller is better),897.5
10182,-2 Log Likelihood,1339.6
10182,AIC (smaller is better),1351.6
10182,AICC (smaller is better),1362.1
10182,BIC (smaller is better),1355.8
10184,-2 Log Likelihood,916.3
10184,AIC (smaller is better),928.3
10184,AICC (smaller is better),940.3
10184,BIC (smaller is better),932.1
10270,-2 Log Likelihood,4847.8
10270,AIC (smaller is better),4859.8
10270,AICC (smaller is better),4866.8
10270,BIC (smaller is better),4865.5
10500,-2 Log Likelihood,933.1
10500,AIC (smaller is better),945.1
10500,AICC (smaller is better),953.5
10500,BIC (smaller is better),950.1
10508,-2 Log Likelihood,1246.0
10508,AIC (smaller is better),1258.0
10508,AICC (smaller is better),1286.0
10508,BIC (smaller is better),1259.8
10534,-2 Log Likelihood,675.7
10534,AIC (smaller is better),687.7
10534,AICC (smaller is better),715.7
10534,BIC (smaller is better),689.6
10606,-2 Log Likelihood,352.1
10606,AIC (smaller is better),364.1
10606,AICC (smaller is better),374.6
10606,BIC (smaller is better),368.3
10607,-2 Log Likelihood,930.2
10607,AIC (smaller is better),942.2
10607,AICC (smaller is better),956.2
10607,BIC (smaller is better),945.6
10618,-2 Log Likelihood,209.7
10618,AIC (smaller is better),221.7
10618,AICC (smaller is better),249.7
10618,BIC (smaller is better),223.5
10619,-2 Log Likelihood,712.2
10619,AIC (smaller is better),724.2
10619,AICC (smaller is better),752.2
10619,BIC (smaller is better),726.0
10702,-2 Log Likelihood,421.5
10702,AIC (smaller is better),433.5
10702,AICC (smaller is better),447.5
10702,BIC (smaller is better),436.9
11367,-2 Log Likelihood,468.9
11367,AIC (smaller is better),480.9
11367,AICC (smaller is better),492.9
11367,BIC (smaller is better),484.7
11375,-2 Log Likelihood,388.5
11375,AIC (smaller is better),400.5
11375,AICC (smaller is better),414.5
11375,BIC (smaller is better),403.9
11563,-2 Log Likelihood,1798.4
11563,AIC (smaller is better),1810.4
11563,AICC (smaller is better),1831.4
11563,BIC (smaller is better),1812.8
11564,-2 Log Likelihood,1292.9
11564,AIC (smaller is better),1304.9
11564,AICC (smaller is better),1325.9
11564,BIC (smaller is better),1307.3
11635,-2 Log Likelihood,1163.8
11635,AIC (smaller is better),1175.8
11635,AICC (smaller is better),1181.8
11635,BIC (smaller is better),1182.0
11661,-2 Log Likelihood,1245.6
11661,AIC (smaller is better),1257.6
11661,AICC (smaller is better),1265.3
11661,BIC (smaller is better),1263.0
11663,-2 Log Likelihood,1542.6
11663,AIC (smaller is better),1554.6
11663,AICC (smaller is better),1559.2
11663,BIC (smaller is better),1561.9
11950,-2 Log Likelihood,171.2
11950,AIC (smaller is better),183.2
11950,AICC (smaller is better),197.2
11950,BIC (smaller is better),186.5
11951,-2 Log Likelihood,157.5
11951,AIC (smaller is better),169.5
11951,AICC (smaller is better),183.5
11951,BIC (smaller is better),172.9
12006,-2 Log Likelihood,1259.0
12006,AIC (smaller is better),1271.0
12006,AICC (smaller is better),1299.0
12006,BIC (smaller is better),1272.8
12020,-2 Log Likelihood,953.8
12020,AIC (smaller is better),965.8
12020,AICC (smaller is better),993.8
12020,BIC (smaller is better),967.6
12167,-2 Log Likelihood,1245.9
12167,AIC (smaller is better),1257.9
12167,AICC (smaller is better),1260.7
12167,BIC (smaller is better),1267.6
12168,-2 Log Likelihood,314.7
12168,AIC (smaller is better),326.7
12168,AICC (smaller is better),340.7
12168,BIC (smaller is better),330.1
12242,-2 Log Likelihood,593.3
12242,AIC (smaller is better),605.3
12242,AICC (smaller is better),622.1
12242,BIC (smaller is better),608.3
12433,-2 Log Likelihood,9217.5
12433,AIC (smaller is better),9229.5
12433,AICC (smaller is better),9235.1
12433,BIC (smaller is better),9236.0
12524,-2 Log Likelihood,728.1
12524,AIC (smaller is better),740.1
12524,AICC (smaller is better),752.1
12524,BIC (smaller is better),743.9
12935,-2 Log Likelihood,778.9
12935,AIC (smaller is better),790.9
12935,AICC (smaller is better),811.9
12935,BIC (smaller is better),793.3
12990,-2 Log Likelihood,388.5
12990,AIC (smaller is better),400.5
12990,AICC (smaller is better),421.5
12990,BIC (smaller is better),402.9
13113,-2 Log Likelihood,985.2
13113,AIC (smaller is better),997.2
13113,AICC (smaller is better),1002.8
13113,BIC (smaller is better),1003.8
13380,-2 Log Likelihood,566.7
13380,AIC (smaller is better),578.7
13380,AICC (smaller is better),588.0
13380,BIC (smaller is better),583.3
13405,-2 Log Likelihood,428.7
13405,AIC (smaller is better),440.7
13405,AICC (smaller is better),468.7
13405,BIC (smaller is better),442.5
13503,-2 Log Likelihood,565.3
13503,AIC (smaller is better),577.3
13503,AICC (smaller is better),594.1
13503,BIC (smaller is better),580.2
13506,-2 Log Likelihood,947.9
13506,AIC (smaller is better),959.9
13506,AICC (smaller is better),970.4
13506,BIC (smaller is better),964.1
13587,-2 Log Likelihood,2351.8
13587,AIC (smaller is better),2363.8
13587,AICC (smaller is better),2380.6
13587,BIC (smaller is better),2366.7
13838,-2 Log Likelihood,847.4
13838,AIC (smaller is better),859.4
13838,AICC (smaller is better),876.2
13838,BIC (smaller is better),862.3
13839,-2 Log Likelihood,814.3
13839,AIC (smaller is better),826.3
13839,AICC (smaller is better),847.3
13839,BIC (smaller is better),828.7
14181,-2 Log Likelihood,6774.2
14181,AIC (smaller is better),6786.2
14181,AICC (smaller is better),6798.2
14181,BIC (smaller is better),6790.0
14519,-2 Log Likelihood,730.3
14519,AIC (smaller is better),742.3
14519,AICC (smaller is better),763.3
14519,BIC (smaller is better),744.6
14541,-2 Log Likelihood,358.8
14541,AIC (smaller is better),370.8
14541,AICC (smaller is better),391.8
14541,BIC (smaller is better),373.1
14682,-2 Log Likelihood,349.1
14682,AIC (smaller is better),361.1
14682,AICC (smaller is better),389.1
14682,BIC (smaller is better),362.9
14687,-2 Log Likelihood,589.5
14687,AIC (smaller is better),601.5
14687,AICC (smaller is better),622.5
14687,BIC (smaller is better),603.8
14693,-2 Log Likelihood,371.5
14693,AIC (smaller is better),383.5
14693,AICC (smaller is better),404.5
14693,BIC (smaller is better),385.9
14701,-2 Log Likelihood,317.8
14701,AIC (smaller is better),329.8
14701,AICC (smaller is better),357.8
14701,BIC (smaller is better),331.6
15080,-2 Log Likelihood,808.8
15080,AIC (smaller is better),820.8
15080,AICC (smaller is better),826.8
15080,BIC (smaller is better),827.0
15092,-2 Log Likelihood,771.7
15092,AIC (smaller is better),783.7
15092,AICC (smaller is better),800.5
15092,BIC (smaller is better),786.6
15104,-2 Log Likelihood,512.6
15104,AIC (smaller is better),524.6
15104,AICC (smaller is better),552.6
15104,BIC (smaller is better),526.5
15105,-2 Log Likelihood,258.8
15105,AIC (smaller is better),270.8
15105,AICC (smaller is better),287.6
15105,BIC (smaller is better),273.7
15299,-2 Log Likelihood,1688.3
15299,AIC (smaller is better),1700.3
15299,AICC (smaller is better),1709.7
15299,BIC (smaller is better),1705.0
15308,-2 Log Likelihood,1425.8
15308,AIC (smaller is better),1437.8
15308,AICC (smaller is better),1451.8
15308,BIC (smaller is better),1441.2
15414,-2 Log Likelihood,1842.4
15414,AIC (smaller is better),1854.4
15414,AICC (smaller is better),1868.4
15414,BIC (smaller is better),1857.8
15437,-2 Log Likelihood,2282.0
15437,AIC (smaller is better),2294.0
15437,AICC (smaller is better),2301.0
15437,BIC (smaller is better),2299.7
15473,-2 Log Likelihood,504.3
15473,AIC (smaller is better),516.3
15473,AICC (smaller is better),524.0
15473,BIC (smaller is better),521.7
15474,-2 Log Likelihood,280.3
15474,AIC (smaller is better),292.3
15474,AICC (smaller is better),320.3
15474,BIC (smaller is better),294.1
15476,-2 Log Likelihood,608.2
15476,AIC (smaller is better),620.2
15476,AICC (smaller is better),637.0
15476,BIC (smaller is better),623.1
15479,-2 Log Likelihood,637.2
15479,AIC (smaller is better),649.2
15479,AICC (smaller is better),656.8
15479,BIC (smaller is better),654.5
15510,-2 Log Likelihood,2742.9
15510,AIC (smaller is better),2754.9
15510,AICC (smaller is better),2775.9
15510,BIC (smaller is better),2757.3
15742,-2 Log Likelihood,445.9
15742,AIC (smaller is better),457.9
15742,AICC (smaller is better),469.9
15742,BIC (smaller is better),461.7
15748,-2 Log Likelihood,290.4
15748,AIC (smaller is better),302.4
15748,AICC (smaller is better),330.4
15748,BIC (smaller is better),304.2
15761,-2 Log Likelihood,510.9
15761,AIC (smaller is better),522.9
15761,AICC (smaller is better),529.9
15761,BIC (smaller is better),528.6
15765,-2 Log Likelihood,496.2
15765,AIC (smaller is better),508.2
15765,AICC (smaller is better),515.2
15765,BIC (smaller is better),513.9
15771,-2 Log Likelihood,119.1
15771,AIC (smaller is better),131.1
15771,AICC (smaller is better),152.1
15771,BIC (smaller is better),133.4
15860,-2 Log Likelihood,2419.2
15860,AIC (smaller is better),2431.2
15860,AICC (smaller is better),2433.2
15860,BIC (smaller is better),2442.5
15861,-2 Log Likelihood,377.5
15861,AIC (smaller is better),389.5
15861,AICC (smaller is better),395.5
15861,BIC (smaller is better),395.8
15866,-2 Log Likelihood,483.0
15866,AIC (smaller is better),495.0
15866,AICC (smaller is better),504.3
15866,BIC (smaller is better),499.6
15876,-2 Log Likelihood,1203.0
15876,AIC (smaller is better),1215.0
15876,AICC (smaller is better),1219.2
15876,BIC (smaller is better),1222.8
15879,-2 Log Likelihood,1413.2
15879,AIC (smaller is better),1425.2
15879,AICC (smaller is better),1433.6
15879,BIC (smaller is better),1430.2
15885,-2 Log Likelihood,1355.7
15885,AIC (smaller is better),1367.7
15885,AICC (smaller is better),1374.7
15885,BIC (smaller is better),1373.3
15886,-2 Log Likelihood,1064.9
15886,AIC (smaller is better),1076.9
15886,AICC (smaller is better),1090.9
15886,BIC (smaller is better),1080.3
15909,-2 Log Likelihood,2354.7
15909,AIC (smaller is better),2366.7
15909,AICC (smaller is better),2368.8
15909,BIC (smaller is better),2377.7
15912,-2 Log Likelihood,306.0
15912,AIC (smaller is better),318.0
15912,AICC (smaller is better),325.6
15912,BIC (smaller is better),323.3
15962,-2 Log Likelihood,327.2
15962,AIC (smaller is better),339.2
15962,AICC (smaller is better),344.8
15962,BIC (smaller is better),345.8
15963,-2 Log Likelihood,231.6
15963,AIC (smaller is better),243.6
15963,AICC (smaller is better),253.0
15963,BIC (smaller is better),248.3
15965,-2 Log Likelihood,471.8
15965,AIC (smaller is better),483.8
15965,AICC (smaller is better),490.8
15965,BIC (smaller is better),489.5
15966,-2 Log Likelihood,208.1
15966,AIC (smaller is better),220.1
15966,AICC (smaller is better),248.1
15966,BIC (smaller is better),221.9
16073,-2 Log Likelihood,3886.5
16073,AIC (smaller is better),3898.5
16073,AICC (smaller is better),3907.8
16073,BIC (smaller is better),3903.1
16076,-2 Log Likelihood,6310.4
16076,AIC (smaller is better),6322.4
16076,AICC (smaller is better),6327.3
16076,BIC (smaller is better),6329.4
16103,-2 Log Likelihood,691.2
16103,AIC (smaller is better),703.2
16103,AICC (smaller is better),713.7
16103,BIC (smaller is better),707.4
16114,-2 Log Likelihood,485.9
16114,AIC (smaller is better),497.9
16114,AICC (smaller is better),518.9
16114,BIC (smaller is better),500.3
