metaanalysisid,Descr,Value
87,-2 Log Likelihood,191.0
87,AIC (smaller is better),201.0
87,AICC (smaller is better),216.0
87,BIC (smaller is better),202.5
88,-2 Log Likelihood,194.8
88,AIC (smaller is better),204.8
88,AICC (smaller is better),219.8
88,BIC (smaller is better),206.3
89,-2 Log Likelihood,172.9
89,AIC (smaller is better),182.9
89,AICC (smaller is better),197.9
89,BIC (smaller is better),184.5
90,-2 Log Likelihood,180.2
90,AIC (smaller is better),190.2
90,AICC (smaller is better),205.2
90,BIC (smaller is better),191.7
91,-2 Log Likelihood,186.4
91,AIC (smaller is better),196.4
91,AICC (smaller is better),211.4
91,BIC (smaller is better),197.9
92,-2 Log Likelihood,178.1
92,AIC (smaller is better),188.1
92,AICC (smaller is better),203.1
92,BIC (smaller is better),189.6
93,-2 Log Likelihood,192.2
93,AIC (smaller is better),202.2
93,AICC (smaller is better),217.2
93,BIC (smaller is better),203.7
94,-2 Log Likelihood,176.1
94,AIC (smaller is better),186.1
94,AICC (smaller is better),201.1
94,BIC (smaller is better),187.6
95,-2 Log Likelihood,172.2
95,AIC (smaller is better),182.2
95,AICC (smaller is better),197.2
95,BIC (smaller is better),183.7
96,-2 Log Likelihood,166.7
96,AIC (smaller is better),176.7
96,AICC (smaller is better),191.7
96,BIC (smaller is better),178.2
97,-2 Log Likelihood,224.7
97,AIC (smaller is better),234.7
97,AICC (smaller is better),249.7
97,BIC (smaller is better),236.2
98,-2 Log Likelihood,83.1
98,AIC (smaller is better),93.1
98,AICC (smaller is better),108.1
98,BIC (smaller is better),94.6
99,-2 Log Likelihood,231.6
99,AIC (smaller is better),241.6
99,AICC (smaller is better),256.6
99,BIC (smaller is better),243.2
100,-2 Log Likelihood,251.3
100,AIC (smaller is better),261.3
100,AICC (smaller is better),276.3
100,BIC (smaller is better),262.8
101,-2 Log Likelihood,126.7
101,AIC (smaller is better),136.7
101,AICC (smaller is better),151.7
101,BIC (smaller is better),138.2
102,-2 Log Likelihood,275.6
102,AIC (smaller is better),285.6
102,AICC (smaller is better),300.6
102,BIC (smaller is better),287.1
103,-2 Log Likelihood,130.1
103,AIC (smaller is better),140.1
103,AICC (smaller is better),155.1
103,BIC (smaller is better),141.6
104,-2 Log Likelihood,121.0
104,AIC (smaller is better),131.0
104,AICC (smaller is better),146.0
104,BIC (smaller is better),132.5
105,-2 Log Likelihood,237.2
105,AIC (smaller is better),247.2
105,AICC (smaller is better),262.2
105,BIC (smaller is better),248.8
106,-2 Log Likelihood,164.7
106,AIC (smaller is better),174.7
106,AICC (smaller is better),189.7
106,BIC (smaller is better),176.2
107,-2 Log Likelihood,161.0
107,AIC (smaller is better),171.0
107,AICC (smaller is better),186.0
107,BIC (smaller is better),172.6
108,-2 Log Likelihood,210.2
108,AIC (smaller is better),220.2
108,AICC (smaller is better),235.2
108,BIC (smaller is better),221.7
109,-2 Log Likelihood,92.9
109,AIC (smaller is better),102.9
109,AICC (smaller is better),117.9
109,BIC (smaller is better),104.4
110,-2 Log Likelihood,200.9
110,AIC (smaller is better),210.9
110,AICC (smaller is better),225.9
110,BIC (smaller is better),212.4
111,-2 Log Likelihood,177.5
111,AIC (smaller is better),187.5
111,AICC (smaller is better),202.5
111,BIC (smaller is better),189.0
112,-2 Log Likelihood,154.6
112,AIC (smaller is better),164.6
112,AICC (smaller is better),179.6
112,BIC (smaller is better),166.1
113,-2 Log Likelihood,261.1
113,AIC (smaller is better),271.1
113,AICC (smaller is better),286.1
113,BIC (smaller is better),272.7
114,-2 Log Likelihood,168.1
114,AIC (smaller is better),178.1
114,AICC (smaller is better),193.1
114,BIC (smaller is better),179.6
115,-2 Log Likelihood,110.7
115,AIC (smaller is better),120.7
115,AICC (smaller is better),135.7
