"V1","estimates","estimate_lower","estimate_upper","p_value","DIC_array","DIC_true_array","ID"
"2.5%",0.838357170676075,0.431755661194158,3.30490938904889,0.259674377308988,138.901765384029,51.5721811473954,29
"2.5%",0.858876973240339,0.450315866794122,2.75831137063116,0.308583617940471,189.025336183109,59.8837439992237,30
"2.5%",1.38198114256911,0.29166178728779,1.65351521867918,0.173044709891281,190.357182168595,74.1424164071061,10021
"2.5%",1.77401359916058,0.202730825411798,1.37933062477307,0.077750524083116,180.40472887713,72.6391490323676,10022
"2.5%",1.28347357111497,0.326080465503375,1.74759170404577,0.216637656229215,212.193964473316,74.8316608951087,10023
"2.5%",1.28758221750239,0.345879192590796,1.81072840800207,0.225109968985851,206.287384963741,79.3522336617197,10024
"2.5%",1.00566445002738,0.404900918309981,2.40478604778693,0.974402650303884,172.304675513354,67.9894934532796,10025
"2.5%",1.08236353215783,0.414959922694501,1.98867754756588,0.623146635416881,228.010274648476,78.087976427389,10026
"2.5%",1.07352297037313,0.413586587844007,1.90586866384098,0.637728362359407,258.248473408281,83.2216489239525,10027
"2.5%",1.0003579404475,0.365261796904559,2.59332619616779,0.998590528260558,119.976696353122,43.1629360203141,10028
"2.5%",1.1864055437514,0.330308991370282,2.00943991626241,0.389576220822678,171.437356643724,56.5171567057964,10029
"2.5%",1.04221613064132,0.446955934518054,1.85141635664348,0.766002094698794,272.364386637015,78.9686828655989,10030
"2.5%",1.54317467796475,0.260247672260029,1.45314554782481,0.0816599784554386,204.598623576231,61.2356391463886,10031
"2.5%",0.883165635226898,0.515662866863522,2.52960901229807,0.345025534215737,239.308725260332,79.2835124620114,10032
"2.5%",1.74331596100909,0.260063163127769,1.16837961773017,0.0185244016565758,305.083967992784,101.729568164529,10033
"2.5%",1.2371168127381,0.35215280694534,1.75389349476449,0.267056675212045,228.327310983249,71.1821937714771,10034
"2.5%",2.15264543879664,0.167173146741871,1.08575097696892,0.0523316331514354,180.711911385987,64.3383156372659,10035
"2.5%",1.47144447343474,0.28715242444635,1.48992251302686,0.0864048080591695,244.53568402717,117.752173737663,10036
"2.5%",1.61877870203426,0.215850187896486,1.69758905398104,0.132854358815346,118.205463431733,45.0972714410565,10037
"2.5%",1.75882410994174,0.200776284660498,1.44074551684178,0.0898686702070624,154.939034779157,54.8576980504867,10038
"2.5%",1.63909445920629,0.287132452394569,1.22764397904411,0.0205310691297438,326.237997993563,134.181732349871,10039
"2.5%",1.10060922791615,0.39002864669594,2.09261130148048,0.592184602593167,196.548683897427,65.3757247620378,10040
"2.5%",1.9546815475113,0.222406961379504,1.02722174430616,0.0219377873102653,258.904340658159,83.5575868744457,10041
"2.5%",1.23373097828469,0.327243956087092,1.89936170288489,0.330003745979548,154.330015679156,52.7790391965648,10042
"2.5%",1.25121847420705,0.349770427632083,1.75360458055932,0.256950961515434,212.47075295508,72.7409091828561,10043
"2.5%",1.42200059169757,0.277518967246418,1.74559986858517,0.147210690556767,173.815148233659,68.8824952102855,10044
"2.5%",1.1866432100236,0.320671209360808,1.96009787357449,0.408096159583462,175.140429169598,63.69109974648,10045
"2.5%",2.17107384230704,0.173511383031102,1.07721044527389,0.0466065620376981,181.189436275276,71.0091474713364,10046
"2.5%",1.21100419917669,0.316125369624134,1.9264320276878,0.391133146856367,155.100687942732,59.577088346815,10047
"2.5%",1.57254256339598,0.274585545840217,1.41721864136423,0.0631997617352089,206.069023630287,82.104952879821,10048
"2.5%",1.37722023020341,0.322511771286783,1.55029688129986,0.104694012961167,243.650764537831,86.5938406197586,10049
"2.5%",1.18482518160041,0.328832363738993,2.05502287660816,0.432222499628942,154.489429010608,61.5879712944552,10050
"2.5%",1.066153571561,0.450102459175358,1.9556333390156,0.667741914619938,273.406892743666,106.267739027393,10051
"2.5%",2.31551699144043,0.184382722135434,0.896691304991823,0.0117695232959081,290.60327474122,85.4299766680026,10052
"2.5%",1.8049679049592,0.200992293721869,1.26844457736267,0.0652176523630361,181.596766057092,65.1344986807306,10053
"2.5%",1.02317622788461,0.425894832559436,2.06362483424259,0.87378241232116,280.020149302447,93.3012818076313,10054
"2.5%",2.10261280951078,0.191542527746282,1.04076402086749,0.0244213526874166,267.322614634022,121.585811768565,10055
"2.5%",0.639501671297377,0.528856485015489,4.33579877551429,0.000693655652883818,122.127536618658,53.3423839334128,10056
"2.5%",2.42672325574965,0.146140509235301,0.942624962766735,0.0475847103088169,198.392938295727,77.7854972156014,10057
"2.5%",1.93131902137054,0.173861113341412,1.31025709041828,0.0960012819698179,145.847615910885,69.3782201095479,10058
"2.5%",1.80301775367722,0.178635458009065,1.5650831378684,0.153640677752783,108.407179964681,44.5926737387816,10059
"2.5%",1.05223345157948,0.43106247499457,1.94170926158293,0.725398914179028,302.209812905353,111.513702876241,10060
"2.5%",1.42471976081707,0.284698433402936,1.65669116609299,0.150201406118919,171.371929499916,54.7473919807446,10061
"2.5%",1.18548099945942,0.357898073728612,1.98203522196673,0.372902615014235,189.569852583165,61.5779708538154,10062
"2.5%",1.53891976901646,0.2748002597785,1.51264846291051,0.0769341859048964,206.87680516418,83.2356427673203,10063
"2.5%",1.41386828925126,0.338744834956938,1.46535915425728,0.0745175182560096,274.852539333326,120.42003292829,10064
"2.5%",1.00759256346485,0.366252223948284,2.57336960422666,0.96851629688463,140.230840089776,52.9012558531421,10065
"2.5%",2.29471728976341,0.176220184297371,0.909555926432685,0.0186336626540733,268.603459871217,92.7203455796128,10066
"2.5%",0.893167020752432,0.393015907784135,2.97520961331594,0.53939620215539,110.899706606121,47.8944291926781,10067
"2.5%",1.24914308924611,0.363501009134739,1.63152204920076,0.233501745745883,228.237184651552,73.7114176482369,10068
"2.5%",1.01591849563733,0.484059702336914,1.94757029122437,0.904508719351685,309.348197196729,118.739218785254,10069
"2.5%",1.68627764174093,0.254830737784629,1.30073821473552,0.0502850876023078,236.838076374398,92.8053997418349,10070
