metaanalysisid,Parameter,Estimate,StandardError,DF,tValue,Probt,Alpha,Lower,Upper,Gradient
1974,beta2,-4.1573,0.5804,1000,-7.16,<.0001,0.05,-5.2962,-3.0185,0.001239
1974,sig2,0.4952,0.3208,1000,1.54,0.1230,0.05,-0.1343,1.1247,-0.00067
1974,fz,2.1397,0.9606,1000,2.23,0.0261,0.05,0.2546,4.0247,-0.00045
2007,beta1,-4.7918,0.7323,1000,-6.54,<.0001,0.05,-6.2288,-3.3548,0.000105
2007,sig1,0.6619,0.3265,1000,2.03,0.0429,0.05,0.02119,1.3026,-0.00016
2007,beta2,-4.1005,0.6219,1000,-6.59,<.0001,0.05,-5.3208,-2.8802,0.001447
2007,sig2,0.5527,0.3173,1000,1.74,0.0818,0.05,-0.06994,1.1753,0.001869
2007,fz,2.4493,0.9567,1000,2.56,0.0106,0.05,0.5720,4.3266,-0.00029
2090,beta1,-3.2671,0.3175,1000,-10.29,<.0001,0.05,-3.8902,-2.6440,-0.00014
2090,sig1,-0.5921,0.5651,1000,-1.05,0.2950,0.05,-1.7010,0.5169,-4.6E-6
2090,beta2,-5.6538,1.1692,1000,-4.84,<.0001,0.05,-7.9481,-3.3595,-0.00005
2090,sig2,0.6792,0.4696,1000,1.45,0.1484,0.05,-0.2424,1.6008,-0.00012
2090,fz,1.2953,1.2549,1000,1.03,0.3023,0.05,-1.1673,3.7579,0.000025
2256,beta1,-4.1154,0.3244,1000,-12.69,<.0001,0.05,-4.7519,-3.4789,-0.00051
2256,sig1,-0.3388,0.4457,1000,-0.76,0.4474,0.05,-1.2134,0.5359,0.000421
2256,beta2,-5.7932,0.6778,1000,-8.55,<.0001,0.05,-7.1233,-4.4630,-0.00041
2256,sig2,-0.05884,0.6035,1000,-0.10,0.9224,0.05,-1.2431,1.1254,0.000010
2256,fz,6.3609,6.9464,1000,0.92,0.3600,0.05,-7.2704,19.9921,-9.48E-6
2262,beta1,-3.7416,0.2860,1000,-13.08,<.0001,0.05,-4.3029,-3.1803,-0.00081
2262,sig1,-0.2642,0.3228,1000,-0.82,0.4132,0.05,-0.8977,0.3692,-0.00097
2262,beta2,-6.4762,0.7076,1000,-9.15,<.0001,0.05,-7.8647,-5.0877,0.000034
2262,sig2,-14.8874,58.2733,1000,-0.26,0.7984,0.05,-129.24,99.4646,7.903E-8
2262,fz,0.9044,6.7004,1000,0.13,0.8927,0.05,-12.2441,14.0529,6.654E-8
2279,beta1,-3.3319,,1000,,,0.05,,,-0.00150
2279,sig1,0.4256,,1000,,,0.05,,,-0.00166
2279,beta2,-2.6619,,1000,,,0.05,,,0.016062
2279,sig2,0.4299,,1000,,,0.05,,,-0.02035
2279,fz,6.3875,,1000,,,0.05,,,-0.00026
2292,beta1,-4.5294,0.3179,1000,-14.25,<.0001,0.05,-5.1533,-3.9055,-0.00006
2292,sig1,-9.4045,,1000,,,0.05,,,-8.09E-8
2292,beta2,-4.5240,0.3179,1000,-14.23,<.0001,0.05,-5.1479,-3.9001,-3.35E-6
2292,sig2,-9.4469,12.1538,1000,-0.78,0.4372,0.05,-33.2968,14.4029,-2.28E-7
2292,fz,6.1757,8.1562,1000,0.76,0.4491,0.05,-9.8296,22.1810,-4.43E-8
2328,beta1,-4.0980,0.3357,1000,-12.21,<.0001,0.05,-4.7567,-3.4392,-0.00265
2328,sig1,-0.3808,0.4710,1000,-0.81,0.4190,0.05,-1.3051,0.5435,-0.00143
2328,beta2,-5.9419,0.6985,1000,-8.51,<.0001,0.05,-7.3125,-4.5713,0.001119
2328,sig2,-0.1870,0.6859,1000,-0.27,0.7852,0.05,-1.5329,1.1589,8.055E81
2328,fz,6.2225,,1000,,,0.05,,,-3.23E-6
2342,beta1,-5.6576,0.5192,1000,-10.90,<.0001,0.05,-6.6765,-4.6388,-0.04755
2342,sig1,0.1443,0.3555,1000,0.41,0.6849,0.05,-0.5533,0.8419,-0.05454
2342,beta2,-5.0654,0.4797,1000,-10.56,<.0001,0.05,-6.0066,-4.1241,-0.04798
2342,sig2,-0.05362,0.3735,1000,-0.14,0.8859,0.05,-0.7866,0.6794,0.019735
2342,fz,6.5053,,1000,,,0.05,,,-0.00166
2343,beta1,-3.8021,0.2889,1000,-13.16,<.0001,0.05,-4.3691,-3.2352,-0.00047
2343,sig1,-0.2488,0.3200,1000,-0.78,0.4371,0.05,-0.8768,0.3792,0.000335
2343,beta2,-6.6214,1.0945,1000,-6.05,<.0001,0.05,-8.7692,-4.4737,0.000400
2343,sig2,-0.8472,4.2794,1000,-0.20,0.8431,0.05,-9.2448,7.5504,0.000190
2343,fz,-5.1457,55.9360,1000,-0.09,0.9267,0.05,-114.91,104.62,0.000011
2370,beta1,-4.5294,0.3179,1000,-14.25,<.0001,0.05,-5.1533,-3.9055,-0.00004
2370,sig1,-10.0995,,1000,,,0.05,,,-3.23E-7
2370,beta2,-4.5240,0.3179,1000,-14.23,<.0001,0.05,-5.1479,-3.9001,-9.03E-7
2370,sig2,-10.0399,,1000,,,0.05,,,5.931E-8
2370,fz,6.2511,0.9459,1000,6.61,<.0001,0.05,4.3950,8.1073,-1.65E-7
2467,beta1,-4.3664,1.0711,1000,-4.08,<.0001,0.05,-6.4683,-2.2645,-0.00067
2467,sig1,1.0458,0.3915,1000,2.67,0.0077,0.05,0.2776,1.8139,-0.00056
2467,beta2,-3.0806,0.5302,1000,-5.81,<.0001,0.05,-4.1211,-2.0402,-0.00063
2467,sig2,0.3854,0.3616,1000,1.07,0.2868,0.05,-0.3242,1.0950,0.000192
2467,fz,2.7880,1.5035,1000,1.85,0.0640,0.05,-0.1624,5.7383,-0.00049
2470,beta1,-2.7112,0.2502,1000,-10.84,<.0001,0.05,-3.2022,-2.2203,0.000102
2470,sig1,-0.2899,0.3071,1000,-0.94,0.3454,0.05,-0.8925,0.3127,0.000175
2470,beta2,-3.2941,0.3528,1000,-9.34,<.0001,0.05,-3.9865,-2.6018,0.000375
2470,sig2,-0.08245,0.3725,1000,-0.22,0.8249,0.05,-0.8135,0.6486,-0.00014
2470,fz,1.3896,0.6896,1000,2.02,0.0442,0.05,0.03639,2.7429,0.000048
2479,beta1,-4.3664,1.0711,1000,-4.08,<.0001,0.05,-6.4683,-2.2645,-0.00067
2479,sig1,1.0458,0.3915,1000,2.67,0.0077,0.05,0.2776,1.8139,-0.00056
2479,beta2,-3.0806,0.5302,1000,-5.81,<.0001,0.05,-4.1211,-2.0402,-0.00063
2479,sig2,0.3854,0.3616,1000,1.07,0.2868,0.05,-0.3242,1.0950,0.000192
2479,fz,2.7880,1.5035,1000,1.85,0.0640,0.05,-0.1624,5.7383,-0.00049
3023,beta1,-2.7952,0.4855,1000,-5.76,<.0001,0.05,-3.7479,-1.8426,-0.00057
3023,sig1,0.4034,0.2717,1000,1.48,0.1380,0.05,-0.1298,0.9366,-0.00075
3023,beta2,-2.7256,0.5263,1000,-5.18,<.0001,0.05,-3.7585,-1.6928,-0.00027
3023,sig2,0.4611,0.2872,1000,1.61,0.1087,0.05,-0.1024,1.0246,0.000376
3023,fz,2.2348,0.9459,1000,2.36,0.0183,0.05,0.3787,4.0909,0.000118
3217,beta1,-2.3940,0.4698,1000,-5.10,<.0001,0.05,-3.3158,-1.4722,-0.00281
3217,sig1,0.4606,0.2666,1000,1.73,0.0843,0.05,-0.06248,0.9838,0.002282
3217,beta2,-2.3842,0.4051,1000,-5.88,<.0001,0.05,-3.1792,-1.5892,0.000657
3217,sig2,0.2998,0.2690,1000,1.11,0.2653,0.05,-0.2280,0.8276,0.001921
3217,fz,2.4393,0.4533,1000,5.38,<.0001,0.05,1.5498,3.3287,-0.00393
3223,beta1,-4.3083,0.2369,1000,-18.18,<.0001,0.05,-4.7732,-3.8434,-0.00131
3223,sig1,-0.5158,0.3593,1000,-1.44,0.1514,0.05,-1.2208,0.1892,-0.00049
3223,beta2,-4.4872,0.3286,1000,-13.66,<.0001,0.05,-5.1319,-3.8424,0.001160
3223,sig2,-0.2015,0.3495,1000,-0.58,0.5643,0.05,-0.8873,0.4842,-0.00017
3223,fz,5.4310,,1000,,,0.05,,,-0.00086
3596,beta1,-3.1286,0.1826,1000,-17.13,<.0001,0.05,-3.4870,-2.7702,0.000532
3596,sig1,-0.4783,0.2654,1000,-1.80,0.0718,0.05,-0.9991,0.04247,0.000456
3596,beta2,-4.5509,0.2007,1000,-22.67,<.0001,0.05,-4.9448,-4.1570,0.000076
3596,sig2,-2.0951,1.6947,1000,-1.24,0.2167,0.05,-5.4207,1.2306,0.000056
3596,fz,4.6330,20.3048,1000,0.23,0.8196,0.05,-35.2119,44.4780,-0.00006
3614,beta1,-3.1951,0.2371,1000,-13.48,<.0001,0.05,-3.6603,-2.7299,0.002351
3614,sig1,-10.5477,31.1308,1000,-0.34,0.7348,0.05,-71.6368,50.5415,0.000029
3614,beta2,-5.3222,5.4253,1000,-0.98,0.3268,0.05,-15.9685,5.3241,0.000476
3614,sig2,0.2237,3.8801,1000,0.06,0.9540,0.05,-7.3904,7.8379,-0.00069
3614,fz,1.0447,6.4643,1000,0.16,0.8716,0.05,-11.6405,13.7299,-0.00036
3809,beta1,-3.0975,0.6456,1000,-4.80,<.0001,0.05,-4.3643,-1.8306,-0.00433
3809,sig1,0.5660,0.2289,1000,2.47,0.0136,0.05,0.1167,1.0152,-0.05421
3809,beta2,-2.8437,0.5552,1000,-5.12,<.0001,0.05,-3.9332,-1.7542,0.006821
3809,sig2,0.4327,0.1628,1000,2.66,0.0080,0.05,0.1132,0.7522,0.027173
3809,fz,6.5592,,1000,,,0.05,,,-0.00027
3959,beta1,-3.4115,0.4588,1000,-7.44,<.0001,0.05,-4.3119,-2.5111,0.000063
3959,sig1,0.01157,0.4404,1000,0.03,0.9790,0.05,-0.8526,0.8757,-0.00018
3959,beta2,-3.1852,0.3098,1000,-10.28,<.0001,0.05,-3.7931,-2.5773,-0.00003
3959,sig2,-0.6484,0.6509,1000,-1.00,0.3194,0.05,-1.9256,0.6288,-0.00016
3959,fz,5.3941,,1000,,,0.05,,,-0.00014
4004,beta1,-3.5746,,1000,,,0.05,,,20.2044
4004,sig1,1.3447,0,1000,I,<.0001,0.05,M,I,58.8107
4004,beta2,-3.7976,,1000,,,0.05,,,-23.0039
4004,sig2,1.2593,,1000,,,0.05,,,4.232E81
4004,fz,6.6103,,1000,,,0.05,,,0.005191
4151,beta1,-3.7501,0.3892,1000,-9.64,<.0001,0.05,-4.5137,-2.9864,-0.00006
