"V1","estimates","estimate_lower","estimate_upper","p_value","DIC_array","DIC_true_array","ID"
"2.5%",1.83135131876459,0.340294348382534,0.891370217141423,2.6748764581086e-07,5022.46061687325,233.383837753352,1040
"2.5%",1.37717479290858,0.512420291969986,1.01757988346549,1.57274512653238e-05,22662.9024960041,3896.36287903017,1041
"2.5%",1.26238585584435,0.514741459345977,1.20356403513537,0.00338204624039573,3403.34569025721,1654.4252309584,1042
"2.5%",0.7584254159619,0.821362215372892,2.12247805307869,9.27411091877772e-06,1263.14511140831,400.187369791278,1043
"2.5%",0.698775862602049,0.658857435803473,3.40874725783689,0.000374101811646765,284.079039871418,83.3189720354316,1044
"2.5%",0.574788650836772,0.759645990144172,3.90765204173639,5.09370323698022e-13,265.358001147478,87.8665360794715,1045
"2.5%",0.843797660074421,0.943521623532532,1.47125017264384,0,8391.82376424652,797.218372506029,1046
"2.5%",1.0522002682136,0.731410928542523,1.24819399275255,0.038750871558983,3926.29130159641,432.776932621522,1047
"2.5%",0.38891574969184,1.80890480195837,3.5914181360522,0,2726.37821403158,796.490596017533,1048
"2.5%",2.71121626605418,0.165335514318064,0.75553774907745,0.0101271636125571,390.481725589765,120.312628784904,1049
"2.5%",0.7584254159619,0.821362215372892,2.12247805307869,9.27411091877772e-06,1263.14511140831,400.187369791278,1050
"2.5%",1.08365244336124,0.574931621756745,1.49190710619476,0.356354541776995,1202.27229817413,434.362535247878,1051
"2.5%",1.92966371023498,0.311050789965038,0.841433362899836,8.57031546486198e-06,980.788849075897,239.761768219142,1052
"2.5%",0.328372778046837,1.91101841547208,4.752325775726,0,1405.35433221512,433.396640418057,1053
"2.5%",0.698775862602049,0.658857435803473,3.40874725783689,0.000374101811646765,284.079039871418,83.3189720354316,1054
"2.5%",0.574788650836772,0.759645990144172,3.90765204173639,5.09370323698022e-13,265.358001147478,87.8665360794715,1055
"2.5%",0.908145329252093,0.899609089115262,1.34780750706873,1.01913388839137e-09,8931.75510798903,927.857536278261,1056
