"V1","estimates","estimate_lower","estimate_upper","pi_estimates","pi_lower","pi_upper","p_value","DIC_array","DIC_true_array","ID"
"2.5%",0.960844087202632,0.750132583603802,1.45403784226373,0.181800547968167,0.180720013111394,0.182965706999468,0.428164871432358,1594.43202828898,358.102796014956,1069
"2.5%",0.702238769539,0.920575711602085,2.25196626505391,0.139592730422746,0.138906695885963,0.140769675544841,0,696.621268856632,181.952980264431,1070
"2.5%",0.746269159987771,0.740859882385063,2.27746257690946,0.176638861292321,0.175417719402358,0.181218733476846,2.45325004755159e-07,398.202645024481,93.544240516277,1071
"2.5%",0.946653121553674,0.574321831303792,1.94837945861925,0.126057587467423,0.125238825633456,0.12775797505061,0.518209138770519,381.938018905445,101.550880491664,1072
"2.5%",0.89468649136102,0.846746558939104,1.48845944604541,0.192145702259008,0.191096974684926,0.193237022703151,0.00157633551094571,1681.09246882738,448.853086669838,1073
"2.5%",0.63873151042292,1.03190072925457,2.37937130966891,0.197300354498032,0.196070395788732,0.198511465483343,0,905.530427080078,255.393826230103,1074
"2.5%",1.80313182786787,0.306949718873744,0.924443572558668,0.214110612803843,0.212884371131628,0.215697767327838,0.000450308620105311,519.885285274838,153.319810817605,1075
"2.5%",0.317020422295585,1.38418542239132,7.5234675146788,0.0831237465236067,0.0788636996930569,0.0969855647425354,0,285.596831112316,84.524053202205,1076
"2.5%",0.542764532534674,0.721131685168429,5.40820745645884,0.211668831838269,0.209965817610648,0.213167428984991,9.54297529887072e-10,227.667209115677,52.7856169237468,1077
"2.5%",0.878625800311547,0.735367337323445,1.77217830948069,0.100988376729852,0.100166134572671,0.103122425833783,0.0110278841453901,1180.23476387361,210.548284944789,1078
"2.5%",1.55224618382269,0.367994771387372,1.184802096021,0.0155294814584504,0.0134385803613428,0.0230034641776174,0.00434337188792622,518.607308965965,76.3788099996469,1079
"2.5%",1.16626212334789,0.587633447031864,1.30690966761084,0.184449126283316,0.183093393791074,0.188228827966697,0.00606850135025128,1027.45352074143,138.100884456321,1080
"2.5%",1.19876242403098,0.57888672247639,1.21723221939955,0.187549030138983,0.185811914541674,0.193150147987639,1.39589532555107e-06,1049.77075045894,187.440477887024,1081
"2.5%",0.784198403877137,0.863770718031075,1.89469133386226,0.00166316398386278,0.00123140696062066,0.00356944950045101,5.94106495110935e-08,1526.90964722877,125.298565012818,1082
"2.5%",0.653215885283849,1.05092645770562,2.25122211783438,0.0874611625983866,0.0867252752817724,0.088426520117851,0,2122.42005522868,176.813845019444,1083
"2.5%",0.542764532534674,0.721131685168429,5.40820745645884,0.211668831838269,0.209965817610648,0.213167428984991,9.54297529887072e-10,227.667209115677,52.7856169237468,1084
